Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-01-02,1303.38,1318.99,1302.48,1317.63
2018-01-03,1317.61,1321.48,1307.48,1313.15
2018-01-04,1313.23,1326.03,1305.98,1322.67
2018-01-05,1322.73,1323.45,1313.78,1320.5
2018-01-08,1320.97,1322.19,1314.88,1320.44
2018-01-09,1320.69,1320.69,1308.95,1312.79
2018-01-10,1312.32,1327.54,1308.33,1316.99
2018-01-11,1316.99,1324.03,1315.78,1322.41
2018-01-12,1322.89,1339.4,1321.6,1338.15
2018-01-15,1336.55,1344.7,1336.07,1340.15
2018-01-16,1340.45,1342.37,1331.97,1338.43
2018-01-17,1338.68,1343.96,1326.28,1326.98
2018-01-18,1327.35,1333.15,1324.36,1327.05
2018-01-19,1327.11,1338.06,1326.53,1332.28
2018-01-22,1334.87,1335.74,1328.53,1333.94
2018-01-23,1333.8,1341.87,1331.46,1341.29
2018-01-24,1341.83,1362.02,1339.59,1358.52
2018-01-25,1357.99,1366.12,1342.7,1348.06
2018-01-26,1347.51,1357.15,1344.72,1349.64
2018-01-29,1350.05,1352.47,1337.76,1340.4
2018-01-30,1340.74,1348.99,1334.53,1338.67
2018-01-31,1338.35,1347.64,1332.88,1345.13
2018-02-01,1345.09,1351.03,1337.35,1348.69
2018-02-02,1348.99,1350.14,1327.51,1331.97
2018-02-05,1332.12,1341.58,1329.08,1339.57
2018-02-06,1340,1346.14,1320.28,1324.25
2018-02-07,1324.05,1332.38,1311.55,1318.47
2018-02-08,1318.17,1322.15,1307.15,1318.75
2018-02-09,1318.4,1322.76,1311.24,1314.84
2018-02-12,1315.15,1326.55,1314.29,1322.71
2018-02-13,1322.71,1330.85,1321.68,1329.57
2018-02-14,1329.55,1355.54,1318.96,1350.61
2018-02-15,1350.32,1357.18,1348.64,1353.58
2018-02-16,1353.6,1361.8,1344.9,1348.76
2018-02-19,1347.61,1351.32,1346.08,1346.74
2018-02-20,1346.58,1348.3,1328.53,1329.2
2018-02-21,1329.28,1336.14,1322.49,1324.62
2018-02-22,1324.01,1332.24,1321.05,1331.56
2018-02-23,1331.4,1332.25,1325.91,1329.32
2018-02-26,1327.95,1340.96,1326.79,1333.34
2018-02-27,1333.26,1336.74,1313.51,1318.37
2018-02-28,1317.95,1322.54,1315.7,1318.23
2018-03-01,1319.52,1321.13,1302.87,1317.1
2018-03-02,1317.4,1325.5,1315.31,1321.95
2018-03-05,1323.71,1327.81,1317.6,1320.42
2018-03-06,1319.95,1338.54,1319.95,1334.58
2018-03-07,1337.79,1340.55,1322.5,1325.62
2018-03-08,1325.4,1329.08,1319.15,1322.05
2018-03-09,1322.15,1325.16,1313.13,1323.45
2018-03-12,1323.03,1324.22,1315.29,1323
2018-03-13,1323.65,1328.34,1315.83,1324.97
2018-03-14,1326.25,1330.1,1321.65,1325.5
2018-03-15,1323.75,1327.98,1315.06,1317.35
2018-03-16,1316.31,1321.71,1309.79,1313.77
2018-03-19,1313.48,1319.65,1307.82,1317.14
2018-03-20,1317.12,1318.34,1307.31,1311.2
2018-03-21,1311.36,1336.66,1309.94,1332.97
2018-03-22,1332.08,1334.94,1324.92,1330.22
2018-03-23,1331.05,1350.24,1330.73,1347.4
2018-03-26,1347.18,1355.97,1343.58,1353.52
2018-03-27,1353.71,1356.86,1339.98,1344.65
2018-03-28,1345.72,1347.07,1323.62,1325.04
2018-03-29,1324.9,1328.39,1321.35,1325.43
2018-04-02,1326.02,1344.87,1324.86,1341.31
2018-04-03,1340.76,1342.53,1329.02,1332.78
2018-04-04,1332.89,1348.08,1331.61,1333.38
2018-04-05,1333,1334.96,1322.82,1326.62
2018-04-06,1326.7,1335.42,1319.97,1333.45
2018-04-09,1334.32,1337.98,1326.97,1336.28
2018-04-10,1336.3,1342.66,1331.41,1339.48
2018-04-11,1339.49,1365.12,1339.23,1353.34
2018-04-12,1352.87,1353.23,1333.88,1335.15
2018-04-13,1334.9,1347.06,1334.9,1344.4
2018-04-16,1343.2,1350.55,1340.34,1345.68
2018-04-17,1345.88,1349.46,1337.78,1347.29
2018-04-18,1347.7,1355.7,1342.39,1349.39
2018-04-19,1349.44,1354.73,1341.1,1345.71
2018-04-20,1345.91,1346.21,1335.04,1335.66
2018-04-23,1334.68,1335.52,1322.22,1324.84
2018-04-24,1324.58,1332.71,1322.76,1330.35
2018-04-25,1330.05,1332.14,1318.91,1323.2
2018-04-26,1322.88,1326.55,1315.43,1316.93
2018-04-27,1316.91,1325.21,1315.64,1323.61
2018-04-30,1323.9,1326.45,1310.5,1315.93
2018-05-01,1315.38,1316.43,1301.91,1304.21
2018-05-02,1304.16,1313.4,1304.05,1305.72
2018-05-03,1304.59,1318.09,1304.59,1312.75
2018-05-04,1312.12,1315.33,1308.24,1314.34
2018-05-07,1317.54,1318.97,1310.32,1314.78
2018-05-08,1313.59,1317.72,1306.18,1313.25
2018-05-09,1314.8,1317.42,1304.52,1313.17
2018-05-10,1312.72,1322.89,1310.92,1320.67
2018-05-11,1321.64,1326,1318.32,1319.28
2018-05-14,1318.36,1322.39,1313.09,1314.11
2018-05-15,1312.98,1314.92,1288.8,1291.41
2018-05-16,1290.09,1296.96,1286.59,1290.38
2018-05-17,1290.62,1294.37,1285.69,1290.74
2018-05-18,1290.9,1294.18,1286.18,1291.89
2018-05-21,1290.78,1293.18,1282.19,1292.54
2018-05-22,1292.75,1296.09,1288.05,1291.62
2018-05-23,1291.26,1298.28,1288.15,1294.17
2018-05-24,1294.1,1306.66,1292.85,1304.48
2018-05-25,1304.46,1307.79,1300.01,1300.11
2018-05-28,1300.34,1300.4,1295.59,1297.7
2018-05-29,1297.49,1306.53,1293.84,1299.14
2018-05-30,1298.61,1304.4,1295.95,1300.43
2018-05-31,1301.62,1306.51,1297.9,1298.46
2018-06-01,1298.97,1300.65,1289.51,1293.65
2018-06-04,1292.62,1297.91,1290.43,1293.1
2018-06-05,1292.44,1300.59,1290.16,1295.02
2018-06-06,1296.57,1301.73,1293.94,1296.78
2018-06-07,1296.68,1303.08,1294.43,1294.43
2018-06-08,1297.1,1300.58,1294.23,1298.53
2018-06-11,1300.01,1302.2,1294.26,1300.39
2018-06-12,1300.33,1300.65,1293.36,1297.72
2018-06-13,1295.97,1301.24,1292.69,1299.5
2018-06-14,1299.79,1309.34,1297.63,1303.06
2018-06-15,1302.61,1303.17,1275.6,1279.97
2018-06-18,1277.73,1282.47,1277.14,1277.64
2018-06-19,1278.33,1284.14,1270.53,1275.37
2018-06-20,1274.71,1276.33,1267.73,1268.94
2018-06-21,1267.61,1270.17,1261.49,1266.47
2018-06-22,1266.99,1271.05,1266.82,1270.23
2018-06-25,1270.2,1272.65,1264.55,1265.53
2018-06-26,1265.76,1267.75,1254.89,1259.75
2018-06-27,1258.99,1260.07,1250.98,1252.93
2018-06-28,1251.91,1254.32,1246.02,1249.32
2018-06-29,1248.29,1255.67,1246.34,1252.55
2018-07-02,1251.96,1254.28,1239.76,1242.51
2018-07-03,1241.88,1256.9,1238.03,1252.12
2018-07-04,1252.43,1261.14,1252.19,1256.98
2018-07-05,1256.73,1259.79,1251.38,1257.41
2018-07-06,1257.62,1258.82,1252.97,1254.99
2018-07-09,1255.15,1265.92,1254.99,1258.23
2018-07-10,1257.74,1260.38,1247.48,1256.27
2018-07-11,1256.2,1256.97,1241.61,1242.39
2018-07-12,1242.3,1248.6,1241.42,1247.21
2018-07-13,1247.3,1248.08,1236.82,1241.67
2018-07-16,1240.93,1245.63,1238.4,1240.71
2018-07-17,1240.73,1245,1226.25,1228.16
2018-07-18,1227.1,1229.18,1221.2,1226.78
2018-07-19,1227.36,1228.9,1211.72,1222.92
2018-07-20,1223.03,1232.3,1215.89,1230.99
2018-07-23,1231.77,1235.11,1222.41,1225.92
2018-07-24,1224.79,1229.49,1218.27,1224.36
2018-07-25,1224.24,1234.19,1223.33,1232.77
2018-07-26,1232.05,1235.24,1222.47,1223.76
2018-07-27,1222.96,1227.32,1217.65,1223.56
2018-07-30,1222.69,1225.12,1219.16,1222.56
2018-07-31,1221.79,1228.58,1214.1,1222.92
2018-08-01,1223.95,1224.84,1215.39,1215.39
2018-08-02,1215.99,1221.15,1207.2,1208.59
2018-08-03,1207.99,1220.02,1204.74,1213.69
2018-08-06,1213.91,1217.9,1206.17,1206.17
2018-08-07,1207.49,1216.2,1207.49,1212.58
2018-08-08,1210.83,1215.87,1206.75,1211.75
2018-08-09,1213.96,1217.33,1210.87,1212.48
2018-08-10,1212.63,1217.09,1205.84,1211.51
2018-08-13,1211.18,1213.94,1191.85,1194.28
2018-08-14,1194.13,1198.7,1192.21,1193.88
2018-08-15,1194.31,1194.69,1173.31,1175.49
2018-08-16,1175.99,1182.01,1160.31,1176.6
2018-08-17,1174.09,1184.47,1172.03,1184.35
2018-08-20,1183.59,1190.9,1182.87,1190.46
2018-08-21,1190.61,1197.04,1187.77,1196.03
2018-08-22,1196.25,1201.66,1192.71,1196.67
2018-08-23,1196.05,1196.69,1183.96,1184.82
2018-08-24,1185.52,1208.45,1183.28,1205.76
2018-08-27,1207.64,1212.41,1203.24,1210.96
2018-08-28,1211.39,1214.35,1199.77,1201.89
2018-08-29,1201.29,1207.3,1200.9,1206.41
2018-08-30,1206.8,1207.92,1196.51,1200.33
2018-08-31,1200.52,1208.85,1198.66,1199.52
2018-09-03,1201.09,1203.89,1195.82,1201.38
2018-09-04,1201.54,1202.07,1189.7,1190.86
2018-09-05,1191.31,1198.45,1191.02,1196.69
2018-09-06,1196.64,1207.01,1195.92,1200.15
2018-09-07,1200.3,1203.58,1193.54,1196.45
2018-09-10,1195.23,1198.53,1191.62,1195.1
2018-09-11,1195.33,1199.46,1187.9,1196.81
2018-09-12,1198.54,1208.55,1192.81,1206.09
2018-09-13,1207.15,1212.72,1200.3,1201.95
2018-09-14,1201.66,1208.57,1193.2,1194.11
2018-09-17,1194.34,1204.89,1192.93,1201.34
2018-09-18,1201.65,1203.57,1195.98,1198.36
2018-09-19,1198.25,1206.25,1197.77,1204.04
2018-09-20,1203.95,1208.45,1201.45,1207.2
2018-09-21,1207.5,1211.1,1191.96,1199.01
2018-09-24,1199.69,1204.16,1194.52,1199.65
2018-09-25,1198.86,1203.37,1197.17,1200.04
2018-09-26,1201.14,1202.53,1190.56,1194.4
2018-09-27,1194.9,1198.68,1181.97,1182.7
2018-09-28,1183.03,1193.85,1181.01,1191.96
2018-10-01,1192.48,1192.5,1184.68,1188.45
2018-10-02,1189.01,1208.29,1188.55,1202.3
2018-10-03,1203.44,1208.32,1196.71,1198.21
2018-10-04,1197.7,1206.78,1196.08,1200.81
2018-10-05,1200.03,1205.79,1197.35,1202.97
2018-10-08,1203.31,1204.14,1183.41,1187.94
2018-10-09,1188.62,1191.85,1183.44,1189.75
2018-10-10,1189.49,1194.85,1185.45,1193.89
2018-10-11,1195.02,1226.31,1191.41,1223.39
2018-10-12,1224.44,1224.44,1215.93,1218.06
2018-10-15,1217.7,1233.31,1217.02,1226.18
2018-10-16,1227.08,1232.41,1223.58,1227.03
2018-10-17,1224.31,1229.54,1220.69,1223.51
2018-10-18,1222.31,1230.15,1218.76,1228.15
2018-10-19,1225.72,1230.74,1223.24,1226.44
2018-10-22,1227.44,1229.6,1220.19,1222.1
2018-10-23,1222,1239.8,1221.83,1231.62
2018-10-24,1230.54,1234.22,1225.74,1233.9
2018-10-25,1234.64,1239.22,1228.18,1231.58
2018-10-26,1232.24,1243.49,1230.14,1233.94
2018-10-29,1233.31,1235.45,1224.47,1230.24
2018-10-30,1229.85,1230.66,1219.96,1223.45
2018-10-31,1222.63,1223.05,1212.07,1215.37
2018-11-01,1215.32,1237.39,1215.3,1232.93
2018-11-02,1234.22,1236.44,1229.93,1233.04
2018-11-05,1233.19,1235.13,1226.97,1231.9
2018-11-06,1231.7,1235.98,1223.57,1227.46
2018-11-07,1227.24,1235.97,1223.32,1227.13
2018-11-08,1226.6,1227.13,1220.27,1223.63
2018-11-09,1223.55,1223.75,1206.79,1209.95
2018-11-12,1208.41,1211.45,1200.01,1200.01
2018-11-13,1200.53,1205.25,1196.4,1202.2
2018-11-14,1202.2,1216.32,1197.79,1211.69
2018-11-15,1211.18,1216.5,1208.13,1214.22
2018-11-16,1213.91,1225.35,1213.25,1222.05
2018-11-19,1222.51,1225.27,1218.06,1224.09
2018-11-20,1224.12,1228.79,1220.11,1221.33
2018-11-21,1221.73,1230.08,1219.88,1226.64
2018-11-22,1226.13,1229.13,1224.98,1227.38
2018-11-23,1227.13,1228.61,1220.43,1223.11
2018-11-26,1223.49,1228.06,1221.81,1223.53
2018-11-27,1222.27,1225.27,1212.04,1215.72
2018-11-28,1214.96,1226.56,1211.29,1221.14
2018-11-29,1220.81,1229.01,1220.58,1224.75
2018-11-30,1224.29,1225.49,1216.79,1222.13
2018-12-03,1222.34,1234.98,1221.38,1231.54
2018-12-04,1231.33,1241.97,1230.58,1239.03
2018-12-05,1239.1,1239.32,1233.39,1237.31
2018-12-06,1237.47,1244.33,1234.7,1238.42
2018-12-07,1238.05,1250.09,1237.11,1248.53
2018-12-10,1249.96,1250.91,1241.51,1244.45
2018-12-11,1244.62,1249.58,1241.13,1243.66
2018-12-12,1243.17,1247.32,1242.15,1245.64
2018-12-13,1246.37,1246.8,1240.27,1242.66
2018-12-14,1241.92,1243.12,1233.01,1238.43
2018-12-17,1239.22,1248.09,1235.9,1246.7
2018-12-18,1246.07,1250.3,1245.14,1248.35
2018-12-19,1249.85,1258.06,1241.7,1243.07
2018-12-20,1243.46,1266.5,1242.7,1260.68
2018-12-21,1260.55,1262.78,1254.02,1255.46
2018-12-24,1257.54,1270.15,1257.54,1269.2
2018-12-26,1269.3,1279.07,1264.26,1267.41
2018-12-27,1266.68,1278.99,1266.62,1275.59
2018-12-28,1275.68,1282.19,1274.38,1280.04
2018-12-31,1280.85,1284.14,1277.54,1282.56
2019-01-02,1282.6,1288.79,1278.5,1283.74
2019-01-03,1286.46,1294.81,1284.67,1293.53
2019-01-04,1294.23,1298.58,1276.8,1285.03
2019-01-07,1286.01,1295.09,1282.76,1288.78
2019-01-08,1288.88,1290.25,1279.46,1284.67
2019-01-09,1285.07,1293.92,1280.2,1292.77
2019-01-10,1293.87,1297.13,1286.23,1287.72
2019-01-11,1286.67,1295.21,1286.67,1288.25
2019-01-14,1287.68,1295.93,1287.59,1291.55
2019-01-15,1292.08,1294.74,1286.87,1289.34
2019-01-16,1289.34,1295,1288.02,1294.33
2019-01-17,1294.15,1295.37,1288.87,1291.85
2019-01-18,1292.28,1292.54,1280.73,1280.96
2019-01-21,1280.81,1283.62,1276.79,1280.28
2019-01-22,1279.67,1285.5,1277.52,1283.53
2019-01-23,1285.22,1286.52,1278.8,1283.15
2019-01-24,1283.07,1284.86,1276.91,1281.05
2019-01-25,1280.96,1300.33,1279.85,1300.23
2019-01-28,1302.32,1304.48,1297.8,1302.85
2019-01-29,1303.4,1312.01,1302.4,1310.86
2019-01-30,1312.06,1323.43,1309.17,1320.58
2019-01-31,1320.6,1326.32,1317.55,1321.37
2019-02-01,1321.34,1323.58,1316,1317.93
2019-02-04,1318.18,1319.14,1308.78,1311.3
2019-02-05,1312.24,1316.94,1310.89,1314.91
2019-02-06,1315.46,1315.88,1305.84,1307.21
2019-02-07,1306.8,1312,1302.9,1310.94
2019-02-08,1310.4,1315.68,1307.7,1314.45
2019-02-11,1314.43,1314.94,1303.81,1308.06
2019-02-12,1308.22,1314.83,1306.59,1310.3
2019-02-13,1309.56,1318.2,1305.14,1306.54
2019-02-14,1305.96,1314.4,1302.61,1311.97
2019-02-15,1312.79,1322.66,1311.08,1321.04
2019-02-18,1321.64,1327.69,1320.45,1326.53
2019-02-19,1326.19,1341.85,1322.93,1340.51
2019-02-20,1340.6,1346.8,1337.07,1339.14
2019-02-21,1338.86,1341.61,1322.16,1324.52
2019-02-22,1325.83,1333.15,1321.57,1328.46
