Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2000-03-01,292.2,294.2,289.25,289.25
2000-03-02,289.2,291.3,287.8,288.2
2000-03-03,288.13,290.7,287.75,288.5
2000-03-06,288.5,290,287.7,287.9
2000-03-07,287.75,293.8,287.5,293.2
2000-03-08,293.5,293.7,288.5,288.5
2000-03-09,289.17,291.5,288.55,291.2
2000-03-10,291.3,292.75,288.5,289
2000-03-13,289.85,291.8,289.6,290.4
2000-03-14,290.5,291.75,288.4,288.9
2000-03-15,289,290.05,288.4,289
2000-03-16,289.2,289.5,285.8,286.5
2000-03-17,286.4,286.4,283.1,284.6
2000-03-20,283.87,286.35,283.87,285.9
2000-03-21,286.25,291.4,284.13,289.7
2000-03-22,289.8,290.6,287.6,288
2000-03-23,288,288.3,283.7,285.6
2000-03-24,285.55,286,284.25,285
2000-03-27,285,289.2,280.3,280.3
2000-03-28,280.4,281.65,279.3,280
2000-03-29,280,280.1,275.1,276.4
2000-03-30,276.5,277.9,275.4,276.65
2000-03-31,276.95,280.4,275,278.9
2000-04-03,278.75,279.1,277.3,278.2
2000-04-04,277.5,288.1,276.2,283.9
2000-04-05,284.2,285,281,281.5
2000-04-06,281.6,282.2,279,280.5
2000-04-07,280.4,281.4,279.5,280.2
2000-04-10,280.6,282.8,279.9,282
2000-04-11,281.7,283.8,281.1,281.6
2000-04-12,281.5,283.4,279.3,282.2
2000-04-13,282.2,282.75,279.95,281.9
2000-04-14,281.7,286.5,280.4,282.6
2000-04-17,283.9,285,280.85,281.6
2000-04-18,281.5,282.6,280.6,281.3
2000-04-19,281.3,282,280.2,280.7
2000-04-20,280.7,281.4,279.25,279.8
2000-04-21,279.8,280.1,279.6,280
2000-04-24,280,280.9,279.6,279.8
2000-04-25,279.95,280.5,278.05,278.4
2000-04-26,278.25,278.5,274.95,275.7
2000-04-27,275.85,277.45,275.35,277.05
2000-04-28,276.95,277,273.05,273.35
2000-05-01,275.25,275.25,272.35,273.65
2000-05-02,274.33,276.25,273.5,274.95
2000-05-03,276.55,278.25,275.75,278.25
2000-05-04,278.25,281.45,277,279.95
2000-05-05,280.4,282.45,277.75,278.95
2000-05-08,278.95,278.95,276.25,276.55
2000-05-09,276.55,277.75,275.75,277.25
2000-05-10,277.25,278.75,277.25,277.75
2000-05-11,277.65,278.25,275.65,276.15
2000-05-12,275.95,277.25,275.75,276.15
2000-05-15,276.35,276.85,274.25,275.45
2000-05-16,275.45,277.2,275,275.65
2000-05-17,275.1,275.25,272.25,273.05
2000-05-18,273.55,274.15,272.25,273.35
2000-05-19,273.4,274.55,273.05,274.25
2000-05-22,274.1,276.9,273.65,275.8
2000-05-23,275.45,276.9,273.75,274.35
2000-05-24,274.3,274.3,272.9,273.5
2000-05-25,273.5,274.65,269.45,270.3
2000-05-26,270.3,272.95,270.15,272.4
2000-05-29,272.7,273.3,272.1,272.1
2000-05-30,272.1,274.8,272.1,273.2
2000-05-31,273.1,273.3,271.9,272.1
2000-06-01,272.2,273.5,271.9,272.8
2000-06-02,272.65,281.95,272.6,281.15
2000-06-05,281.05,286.05,279.05,285.45
2000-06-06,285.45,290.85,283.75,289.5
2000-06-07,289.5,289.5,284.45,287.3
2000-06-08,287.5,287.5,283.85,284.45
2000-06-09,284.45,286.65,283.5,283.85
2000-06-12,283.75,286.85,283.25,286.75
2000-06-13,286.65,294.12,284.65,285.75
2000-06-14,286.35,292,285.55,291.75
2000-06-15,291.85,292.9,286.65,289.85
2000-06-16,289.55,291.95,288.45,289.25
2000-06-19,289.15,289.15,285.45,286.25
2000-06-20,285.9,287.55,285.35,286.15
2000-06-21,286.25,287.5,285.85,286.15
2000-06-22,286.15,289.35,284.95,285.65
2000-06-23,286.45,286.45,282.7,283.15
2000-06-26,283.15,284.6,282.1,283.95
2000-06-27,283.95,286.25,283.4,286.15
2000-06-28,285.95,293.1,285.6,292.8
2000-06-29,292.75,292.75,288.35,289.15
2000-06-30,289.15,290.1,287.9,290.1
2000-07-03,288.95,289.88,287.85,287.85
2000-07-04,287.85,288.25,286.75,286.85
2000-07-05,286.75,287.95,284,284.15
2000-07-06,284.15,285.95,282.35,283.55
2000-07-07,283.55,284.75,281.95,283.65
2000-07-10,283.75,285.25,283.75,284.05
2000-07-11,284.05,284.25,282,282.55
2000-07-12,282.55,283,279.75,280.65
2000-07-13,280.65,281.6,280.2,280.25
2000-07-14,280.5,281.45,279.9,281.4
2000-07-17,280.45,284.15,280.45,283.55
2000-07-18,283.55,284.1,282.05,282.65
2000-07-19,282.6,282.6,277.85,279.15
2000-07-20,279.15,281.2,277.85,280.25
2000-07-21,280.25,281.35,279,280.35
2000-07-24,280.25,280.5,279.05,279.25
2000-07-25,279.25,281.55,278.1,279.15
2000-07-26,279.05,280.4,278.7,279.75
2000-07-27,279.85,280.95,278.15,278.55
2000-07-28,278.45,279.25,277.85,278.4
2000-07-31,278.4,278.4,276.55,277.25
2000-08-01,277.7,278.55,277.05,277.35
2000-08-02,277.5,279.05,276.45,277.55
2000-08-03,277.45,277.88,272.8,273.95
2000-08-04,274.5,275.05,272.2,273.25
2000-08-07,272.85,274.15,272.75,273.75
2000-08-08,273.77,274.75,272.1,273.05
2000-08-09,272.95,273.65,271.3,272.55
2000-08-10,272.25,273.45,271.5,272.75
2000-08-11,272.75,275.45,272.55,275.15
2000-08-14,274.75,276.55,274.05,274.75
2000-08-15,274.75,275.12,274.15,274.65
2000-08-16,274.65,277.5,274.65,277.2
2000-08-17,277.25,278.75,277,277.65
2000-08-18,277.65,277.65,275.5,276.65
2000-08-21,276.7,276.95,274.55,275.2
2000-08-22,275.15,275.75,273.15,273.75
2000-08-23,273.75,273.9,270.85,271.25
2000-08-24,271.25,273.25,270.5,272.95
2000-08-25,272.95,274.75,272.7,274.25
2000-08-28,274,274.55,273.4,274.25
2000-08-29,274.05,275.25,272.7,273.25
2000-08-30,273.25,274.25,272.6,274.15
