Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2000-03-05,292.7,294.5,287.75,288.5
2000-03-12,288.5,293.8,287.5,289
2000-03-19,289.85,291.8,283.1,284.6
2000-03-26,283.87,291.4,283.7,285
2000-04-02,285,289.2,275,278.9
2000-04-09,278.75,288.1,276.2,280.2
2000-04-16,280.6,286.5,279.3,282.6
2000-04-23,283.9,285,279.25,280
2000-04-30,280,280.9,273.05,273.35
2000-05-07,275.25,282.45,272.35,278.95
2000-05-14,278.95,278.95,275.65,276.15
2000-05-21,276.35,277.2,272.25,274.25
2000-05-28,274.1,276.9,269.45,272.4
2000-06-04,272.7,281.95,271.9,281.15
2000-06-11,281.05,290.85,279.05,283.85
2000-06-18,283.75,294.12,283.25,289.25
2000-06-25,289.15,289.35,282.7,283.15
2000-07-02,283.15,293.1,282.1,290.1
2000-07-09,288.95,289.88,281.95,283.65
2000-07-16,283.75,285.25,279.75,281.4
2000-07-23,280.45,284.15,277.85,280.35
2000-07-30,280.25,281.55,277.85,278.4
2000-08-06,278.4,279.05,272.2,273.25
2000-08-13,272.85,275.45,271.3,275.15
2000-08-20,274.75,278.75,274.05,276.65
2000-08-27,276.7,276.95,270.5,274.25
2000-09-03,274,278.75,272.6,276.75
2000-09-10,276.85,277.85,271.55,273.05
2000-09-17,272.95,275.65,270.95,272.55
2000-09-24,272.55,275.85,268.65,272.15
2000-10-01,272.45,279.55,272.05,274.25
2000-10-08,273.95,274.75,268.85,269.65
2000-10-15,269.95,277.65,268.7,272.65
2000-10-22,272.45,275.45,269.55,271.55
2000-10-29,271.35,272.35,264.4,265.35
2000-11-05,264.85,266.85,263.45,265.2
2000-11-12,265.5,267.05,263.26,264.75
2000-11-19,264.75,268.35,263.95,265.8
2000-11-26,266.25,267.65,265.65,265.95
2000-12-03,265.75,273.25,265.75,269.8
2000-12-10,270.98,275.88,270.05,272.75
2000-12-17,272.75,273.15,268.1,270.95
2000-12-24,270.75,275.08,269.15,273.95
2000-12-31,273.55,276.15,271.2,272.25
2001-01-07,273.15,273.55,266.55,268.15
2001-01-14,268.35,269.95,263.55,264.32
2001-01-21,264.35,266.65,262.6,264.75
2001-01-28,264.75,269.1,262.15,263.05
2001-02-04,263.35,268.95,263.05,267.55
2001-02-11,267.45,267.55,259.25,260.65
2001-02-18,260.65,262.95,253.85,258.95
2001-02-25,258.85,261.55,256.15,261.55
2001-03-04,261.55,269.75,261.55,262.85
2001-03-11,262.8,272.58,259.9,272.38
2001-03-18,272.25,275.35,258.45,258.75
2001-03-25,259.35,264.15,258.75,262.45
2001-04-01,262.35,263.25,257.25,257.95
2001-04-08,258.05,260.85,254.7,260.05
2001-04-15,260.05,261.25,256.45,259.25
2001-04-22,259.25,265.55,258.55,264.65
2001-04-29,264.15,267.15,261.85,263.65
2001-05-06,264.05,267.55,263.15,266.15
2001-05-13,266.1,270.8,264.75,268.05
2001-05-20,268.05,288.05,266.3,287.55
2001-05-27,285.5,297.75,275.35,277.65
2001-06-03,277.65,278.55,264.95,267.05
2001-06-10,266.75,274.75,264.95,273.75
2001-06-17,273.25,277.15,266.75,271.55
2001-06-24,271.25,275.95,271.05,272.65
2001-07-01,272.85,279.25,267.85,270.85
2001-07-08,270.85,270.95,264.55,266.25
2001-07-15,266.45,269.85,265.55,267.35
2001-07-22,267.2,271.85,266.75,270.05
2001-07-29,269.95,270.35,264.85,267.55
2001-08-05,267.85,269.25,264.95,268.55
2001-08-12,268.5,277.05,266.25,274.55
2001-08-19,273.75,281.15,273.75,279.25
2001-08-26,279.25,279.55,271.95,272.85
2001-09-02,273.05,276.15,270.55,274.45
2001-09-09,274.45,274.75,271.25,273.15
2001-09-16,273.25,291,270.95,285.55
2001-09-23,286.8,295,285.85,291.45
2001-09-30,290.75,294.15,287,293.2
2001-10-07,292.25,293.2,288.6,290.95
2001-10-14,291,293.95,280.3,284.45
2001-10-21,284.45,285.85,277.65,279.65
2001-10-28,279.65,279.75,274.45,277.35
2001-11-04,277.35,281.65,277.15,279.95
2001-11-11,279.95,281.35,276.35,277.45
2001-11-18,277.45,282.25,273.85,274.85
2001-11-25,274.85,274.95,272.15,272.9
2001-12-02,273.05,276.15,272.45,274.4
2001-12-09,274.4,278.25,273.65,274.55
2001-12-16,274.55,279.45,271.65,278.45
2001-12-23,277.6,281.25,275.35,278.15
2001-12-30,278.15,280.75,276.05,276.55
2002-01-06,276.15,280.25,276.15,278.95
2002-01-13,278.85,289.55,277.65,287.55
2002-01-20,286.95,289.75,282.95,283.55
2002-01-27,283.55,284.05,277.75,279.45
2002-02-03,279.7,287.45,277.65,286.25
2002-02-10,285.5,307.75,285.35,303.75
2002-02-17,303.75,304.05,295.6,297.85
2002-02-24,298.75,298.75,290,292.75
2002-03-03,293,299.85,290.85,298.15
2002-03-10,297.85,300.05,287.95,289.75
2002-03-17,289.6,294.9,289.25,290.05
2002-03-24,290.05,297.88,290,297.75
2002-03-31,297.65,304.77,295.85,302.5
2002-04-07,302.5,306.85,298.25,300.05
2002-04-14,300.1,303.45,297.15,302.15
2002-04-21,302.15,306.25,297.65,302.35
2002-04-28,302.35,311.95,301.85,311.35
2002-05-05,311,313.45,306.65,311.95
2002-05-12,311.75,313.95,307.95,311.05
2002-05-19,310.85,312.15,306.45,311.05
2002-05-26,310.85,323.35,310.35,320.55
2002-06-02,320.55,329.5,320.05,326.55
2002-06-09,326.55,330.55,320.25,323.95
2002-06-16,324.6,326.35,315.95,322.1
2002-06-23,322.2,324.05,317.4,322.7
